County,"Incorporated City 
or Town","Incorpora-
tion Date (1)","June 1,
1850","June 1,
1860","June 1, 
1870","June 1,
1880","Jun 1, 1890","June 1,
1900","April 15,
1910","Jan. 1,
1920","April 1,
1930","April 1,
1940","April 1,
1950","April 1,
1960","April 1,
1970","April 1,
1980","April 1,
1990","Apr 1, 2000","April 1,
2010",GeoID,sumlvl,county FIPS,Place ID
Humboldt,Eureka,1856,,n/a,n/a,"2,639","4,858","7,327","11,845","12,923","15,752","17,055","23,058","28,137","24,337","24,153","27,025","26,128","27,191",1550602323042,155,6023,23042
Humboldt,Ferndale,1893,,,,,,846,905,919,889,901,"1,032","1,371","1,352","1,367","1,331","1,382","1,371",1550602323910,155,6023,23910
Humboldt,Fortuna,1906,,,,,,,883,986,"1,239","1,413","1,762","3,523","4,203","7,591","8,788","10,497","11,926",1550602325296,155,6023,25296
Humboldt,Rio Dell,1965,,,,,,,,,,,,,"2,817","2,687","3,012","3,174","3,368",1550602360900,155,6023,60900
Humboldt,Trinidad,1870,,,,104,n/a,n/a,n/a,n/a,107,94,188,289,300,379,362,311,367,1550602380448,155,6023,80448
,,,,,,,,,,,,,,,,,,,,,,,
Imperial,,1907,,,,,,,"13,591","43,453","60,903","59,740","62,975","72,105","74,492","92,110","109,303","142,361","174,528",5006025,50,6025,
Imperial,Brawley,1908,,,,,,,881,"5,389","10,439","11,718","11,922","12,703","13,746","14,946","18,923","22,052","24,953",1550602508058,155,6025,8058
Imperial,Calexico,1908,,,,,,,797,"6,223","6,299","5,415","6,433","7,992","10,625","14,412","18,633","27,109","38,572",1550602509710,155,6025,9710
Imperial,Calipatria,1919,,,,,,,,785,"1,554","1,799","1,428","2,548","1,824","2,636","2,690","7,289","7,705",1550602509878,155,6025,9878
Imperial,El Centro,1908,,,,,,,"1,610","5,464","8,434","10,017","12,590","16,811","19,272","23,996","31,384","37,835","42,598",1550602521782,155,6025,21782
Imperial,Holtville,1908,,,,,,,729,"1,347","1,758","1,772","2,472","3,080","3,496","4,399","4,820","5,612","5,939",1550602534246,155,6025,34246
Imperial,Imperial,1904,,,,,,,"1,257","1,885","1,943","1,493","1,759","2,658","3,094","3,451","4,113","7,560","14,758",1550602536280,155,6025,36280
Imperial,Westmorland,1934,,,,,,,,,,"1,010","1,213","1,404","1,175","1,590","1,380","2,131","2,225",1550602584606,155,6025,84606
,,,,,,,,,,,,,,,,,,,,,,,
Inyo,,1866,,,"1,956","2,928","3,544","4,377","6,974","7,031","6,555","7,625","11,658","11,684","15,571","17,895","18,281","17,945","18,546",5006027,50,6027,
Inyo,Bishop,1903,,,,,,,"1,190","1,304","1,159","1,490","2,891","2,875","3,498","3,333","3,475","3,575","3,879",1550602706798,155,6027,6798
,,,,,,,,,,,,,,,,,,,,,,,
Kern,,1866,,,"2,925","5,601","9,808","16,480","37,715","54,843","82,570","135,124","228,309","291,984","330,234","403,089","543,477","661,645","839,631",5006029,50,6029,
Kern,Arvin,1960,,,,,,,,,,,,,"5,199","6,863","9,286","12,956","19,304",1550602902924,155,6029,2924
Kern,Bakersfield,"i. 1873/ 
d.1876/ 
ri. 1898",,,,,,"4,836","12,727","18,638","26,015","29,252","34,784","56,848","69,515","105,611","174,820","246,889","347,483",1550602903526,155,6029,3526
Kern,California City,1965,,,,,,,,,,,,,"1,309","2,743","5,955","8,385","14,120",1550602909780,155,6029,9780
Kern,Delano,1915,,,,,,,,805,"2,632","4,573","8,717","11,913","14,559","16,491","22,762","39,489","53,041",1550602918394,155,6029,18394
Kern,Maricopa,1911,,,,,,,,"1,121","1,071",670,800,648,740,946,"1,193","1,111","1,154",1550602945736,155,6029,45736
Kern,McFarland,1957,,,,,,,,,,,,"3,686","4,177","5,151","7,005","9,837","12,707",1550602944826,155,6029,44826
Kern,McKittrick,"i. 1911/ 
d.1927",,,,,,,,207,,,,,,,,,,15506029XXXXX,155,6029,XXXXX
Kern,Ridgecrest,1963,,,,,,,,,,,,,"7,629","15,929","27,725","24,927","27,616",1550602960704,155,6029,60704
Kern,Shafter,1938,,,,,,,,,,"1,258","2,207","4,576","5,327","7,010","8,409","12,736","16,988",1550602971106,155,6029,71106
Kern,Taft,1910,,,,,,,,"3,317","3,442","3,205","3,707","3,822","4,285","5,316","5,902","8,811","9,327",1550602977574,155,6029,77574
Kern,Tehachapi,1909,,,,,,,385,458,736,"1,264","1,685","3,161","4,211","4,126","5,791","11,125","14,414",1550602978092,155,6029,78092
Kern,Wasco,1945,,,,,,,,,,,"5,592","6,841","8,269","9,613","12,412","21,263","25,545",1550602983542,155,6029,83542
,,,,,,,,,,,,,,,,,,,,,,,
Kings,,1893,,,,,,"9,871","16,230","22,031","25,385","35,168","46,768","49,954","66,717","73,738","101,469","129,461","152,982",5006031,50,6031,
Kings,Avenal,1979,,,,,,,,,,,,,,"4,137","9,770","14,674","15,505",1550603103302,155,6031,3302
Kings,Corcoran,1914,,,,,,,,"1,101","1,768","2,092","3,150","4,976","5,249","6,454","13,364","20,835","24,813",1550603116224,155,6031,16224
Kings,Hanford,1891,,,,,,"2,929","4,829","5,888","7,028","8,234","10,028","10,133","15,179","20,958","30,897","41,686","53,967",1550603131960,155,6031,31960
Kings,Lemoore,1900,,,,,,,"1,000","1,355","1,399","1,711","2,153","2,561","4,219","8,832","13,622","19,712","24,531",1550603141152,155,6031,41152
,,,,,,,,,,,,,,,,,,,,,,,
Klamath ,,"1851 
d. 1875",,"1,803","1,686",,,,,,,,,,,,,,,05006XXX,50,,
,,,,,,,,,,,,,,,,,,,,,,,
Lake,,1861,,,"2,969","6,596","7,101","6,017","5,526","5,402","7,166","8,069","11,481","13,786","19,548","36,366","50,631","58,309","64,665",5006033,50,6033,
Lake,Clearlake,1980,,,,,,,,,,,,,,,,"13,142","15,250",1550603313945,155,6033,13945
Lake,Kelseyville,"i. ~1882/ 
d.1902",,,,,282,n/a,,,,,,,,,,,,15506033XXXXX,155,6033,XXXXX
Lake,Lakeport,1888,,,,,991,726,870,"1,024","1,318","1,490","1,983","2,303","3,005","3,675","4,390","4,820","4,753",1550603339710,155,6033,39710
,,,,,,,,,,,,,,,,,,,,,,,
Lassen,,1864,,,"1,327","3,340","4,239","4,511","4,802","8,507","12,589","14,479","18,474","13,597","16,796","21,661","27,598","33,828","34,895",5006035,50,6035,
Lassen,Susanville,1900,,,,,,,688,918,"1,358","1,575","5,338","5,598","6,608","6,520","7,279","17,428","17,947",1550603577364,155,6035,77364
,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,,1850,"3,530","11,333","15,309","33,381","101,454","170,298","504,131","936,455","2,208,492","2,785,643","4,151,687","6,038,771","7,041,980","7,477,238","8,863,164","9,519,338","9,818,605",5006037,50,6037,
Los Angeles,Agoura Hills,1982,,,,,,,,,,,,,,,"20,390","20,537","20,330",1550603700394,155,6037,394
Los Angeles,Alhambra,1903,,,,,,,"5,021","9,096","29,472","38,935","51,359","54,807","62,125","64,767","82,106","85,804","83,089",1550603700884,155,6037,884
Los Angeles,Arcadia,1903,,,,,,,696,"2,239","5,216","9,122","23,066","41,005","45,138","45,993","48,290","53,054","56,364",1550603702462,155,6037,2462
Los Angeles,Artesia,1959,,,,,,,,,,,,"9,993","14,757","14,301","15,464","16,380","16,522",1550603702896,155,6037,2896
Los Angeles,Avalon,1913,,,,,,,,586,"1,897","1,637","1,506","1,536","1,520","2,022","2,918","3,127","3,728",1550603703274,155,6037,3274
Los Angeles,Azusa,1898,,,,,,863,"1,477","2,460","4,808","5,209","11,042","20,497","25,217","29,380","41,333","44,712","46,361",1550603703386,155,6037,3386
Los Angeles,Baldwin Park,1956,,,,,,,,,,,,"33,951","47,285","50,554","69,330","75,837","75,390",1550603703666,155,6037,3666
Los Angeles,Bell,1927,,,,,,,,,"7,884","11,264","15,430","19,450","21,836","25,450","34,365","36,664","35,477",1550603704870,155,6037,4870
Los Angeles,Bell Gardens,1961,,,,,,,,,,,,,"29,308","34,117","42,355","44,054","42,072",1550603704996,155,6037,4996
Los Angeles,Bellflower,1957,,,,,,,,,,,,"45,909","52,334","53,441","61,815","72,878","76,616",1550603704982,155,6037,4982
Los Angeles,Beverly Hills,1914,,,,,,,,674,"17,429","26,823","29,032","30,817","33,416","32,646","31,971","33,784","34,109",1550603706308,155,6037,6308
Los Angeles,Bradbury,1957,,,,,,,,,,,,618,838,846,829,855,"1,048",1550603707946,155,6037,7946
Los Angeles,Burbank,1911,,,,,,,,"2,913","16,662","34,337","78,577","90,155","88,871","84,625","93,643","100,316","103,340",1550603708954,155,6037,8954
Los Angeles,Calabasas,1991,,,,,,,,,,,,,,,,"21,356","23,058",1550603709598,155,6037,9598
Los Angeles,Carson,1968,,,,,,,,,,,,,"71,150","81,221","83,995","89,730","91,714",1550603711530,155,6037,11530
Los Angeles,Cerritos,1956,,,,,,,,,,,,"3,508","15,856","53,020","53,240","51,488","49,041",1550603712552,155,6037,12552
Los Angeles,Claremont,1907,,,,,,,"1,114","1,728","2,719","3,057","6,327","12,633","23,998","31,028","32,503","33,998","34,926",1550603713756,155,6037,13756
Los Angeles,Commerce,1960,,,,,,,,,,,,"9,555","10,635","10,509","12,135","12,568","12,823",1550603714974,155,6037,14974
Los Angeles,Compton,1888,,,,,636,n/a,922,"1,478","12,516","16,198","47,991","71,812","78,547","81,347","90,454","93,493","96,455",1550603715044,155,6037,15044
Los Angeles,Covina,1901,,,,,,,"1,652","1,999","2,774","3,049","3,956","20,124","30,395","32,746","43,207","46,837","47,796",1550603716742,155,6037,16742
Los Angeles,Cudahy,1960,,,,,,,,,,,,,"16,998","18,275","22,817","24,208","23,805",1550603717498,155,6037,17498
Los Angeles,Culver City,1917,,,,,,,,503,"5,669","8,976","19,720","32,163","34,451","38,139","38,793","38,816","38,883",1550603717568,155,6037,17568
Los Angeles,Diamond Bar,1989,,,,,,,,,,,,,,,"53,672","56,287","55,544",1550603719192,155,6037,19192
Los Angeles,Downey,1956,,,,,,,,,,,,"82,505","88,573","82,602","91,444","107,323","111,772",1550603719766,155,6037,19766
Los Angeles,Duarte,1957,,,,,,,,,,,,"13,962","14,981","16,766","20,688","21,486","21,321",1550603719990,155,6037,19990
Los Angeles,El Monte,1912,,,,,,,,"1,283","3,479","4,746","8,101","13,163","69,892","79,494","106,209","115,965","113,475",1550603722230,155,6037,22230
Los Angeles,El Segundo,1917,,,,,,,,"1,563","3,503","3,738","8,011","14,219","15,620","13,752","15,223","16,033","16,654",1550603722412,155,6037,22412
Los Angeles,Gardena,1930,,,,,,,,,,"5,909","14,405","35,943","41,021","45,165","49,847","57,746","58,829",1550603728168,155,6037,28168
Los Angeles,Glendale,1906,,,,,,,"2,746","13,536","62,736","82,582","95,702","119,442","132,664","139,060","180,038","194,973","191,719",1550603730000,155,6037,30000
Los Angeles,Glendora,1911,,,,,,,,"2,028","2,761","2,822","3,988","20,752","31,380","38,500","47,828","49,415","50,073",1550603730014,155,6037,30014
Los Angeles,Hawaiian Gardens,1964,,,,,,,,,,,,,"9,052","10,548","13,639","14,779","14,254",1550603732506,155,6037,32506
Los Angeles,Hawthorne,1922,,,,,,,,,"6,596","8,263","16,316","33,035","53,304","56,437","71,349","84,112","84,293",1550603732548,155,6037,32548
Los Angeles,Hermosa Beach,1907,,,,,,,679,"2,327","4,796","7,197","11,826","16,115","17,412","18,070","18,219","18,566","19,506",1550603733364,155,6037,33364
Los Angeles,Hidden Hills,1961,,,,,,,,,,,,,"1,529","1,760","1,729","1,875","1,856",1550603733518,155,6037,33518
Los Angeles,Huntington Park,1906,,,,,,,"1,299","4,513","24,591","28,648","29,450","29,920","33,744","45,932","56,065","61,348","58,114",1550603736056,155,6037,36056
Los Angeles,Industry,1957,,,,,,,,,,,,778,712,412,631,777,219,1550603736490,155,6037,36490
Los Angeles,Inglewood,1908,,,,,,,"1,536","3,286","19,480","30,114","46,185","63,390","89,985","94,162","109,602","112,580","109,673",1550603736546,155,6037,36546
Los Angeles,Irwindale,1957,,,,,,,,,,,,"1,518",784,"1,030","1,050","1,446","1,422",1550603736826,155,6037,36826
Los Angeles,La Cañada Flintridge,1976,,,,,,,,,,,,,,"20,153","19,378","20,318","20,246",1550603739003,155,6037,39003
Los Angeles,La Habra Heights,1978,,,,,,,,,,,,,,"4,786","6,226","5,712","5,325",1550603739304,155,6037,39304
Los Angeles,La Mirada,1960,,,,,,,,,,,,"22,444","30,808","40,986","40,452","46,783","48,527",1550603740032,155,6037,40032
Los Angeles,La Puente,1956,,,,,,,,,,,,"24,723","31,092","30,882","36,955","41,063","39,816",1550603740340,155,6037,40340
Los Angeles,La Verne,1906,,,,,,,954,"1,698","2,860","3,092","4,198","6,516","12,965","23,508","30,897","31,638","31,063",1550603740830,155,6037,40830
Los Angeles,Lakewood,1954,,,,,,,,,,,,"67,126","83,025","74,654","73,557","79,345","80,048",1550603739892,155,6037,39892
Los Angeles,Lancaster,1977,,,,,,,,,,,,,,"48,027","97,291","118,718","156,633",1550603740130,155,6037,40130
Los Angeles,Lawndale,1959,,,,,,,,,,,,"21,740","24,825","23,460","27,331","31,711","32,769",1550603740886,155,6037,40886
Los Angeles,Lomita,1964,,,,,,,,,,,,,"19,784","18,807","19,382","20,046","20,256",1550603742468,155,6037,42468
Los Angeles,Long Beach,"i. 1888/ d.1896/ 
ri. 1897",,,,,564,"2,252","17,809","55,593","142,032","164,271","250,767","344,168","358,879","361,355","429,433","461,522","462,257",1550603743000,155,6037,43000
Los Angeles,Los Angeles,1850,"1,610","4,385","5,728","11,183","50,395","102,479","319,198","576,673","1,238,048","1,504,277","1,970,358","2,479,015","2,811,801","2,968,579","3,485,398","3,694,742","3,792,621",1550603744000,155,6037,44000
Los Angeles,Lynwood,1921,,,,,,,,,"7,323","10,982","25,823","31,614","43,354","48,409","61,945","69,845","69,772",1550603744574,155,6037,44574
Los Angeles,Malibu,1991,,,,,,,,,,,,,,,,"12,575","12,645",1550603745246,155,6037,45246
Los Angeles,Manhattan Beach,1912,,,,,,,,859,"1,891","6,398","17,330","33,934","35,352","31,542","32,063","33,852","35,135",1550603745400,155,6037,45400
Los Angeles,Maywood,1924,,,,,,,,,"6,794","10,731","13,292","14,588","16,996","21,810","27,850","28,083","27,395",1550603746492,155,6037,46492
